Clustering Technique,Algorithm,Scalability,Complexity,Shape of suitable dataset,Sensitive to outliers/noise,Pros,Cons,Evaluation criteria
Partitioning,K-Means,Middle,Low (O(knt)),Convex,Highly,Relatively low time complexity and high computing efficiency in general,"Not suitable for non-convex data, relatively sensitive to the outliers,
easily drawn into local optimal, the number of clusters needed to be preset, and the clustering result sensitive to the number of clusters","Silhouette score
https://link.springer.com/article/10.1007/s10852-005-9022-1"
Partitioning,k-medoids,Low,High(O(k(n-k)2),Convex,Moderately,,,
Partitioning,PAM,Low,High (O(k3n2)),Convex,Moderately,,,
Partitioning,CLARA,High,Middle(O(ks2+ k(n-k)),Convex,Moderately,,,
Partitioning,CLARANS,Middle,High (O(n2)),Convex,Highly,,,
Partitioning,AP,*,*,*,*,,,
Hierarchical,CURE,High,Low (O(s2logs)),Arbitrary,Moderately,"Suitable for the data set with arbitrary shape and attribute of arbitrary type, the hierarchical relationship among clusters easily detected, and relatively
high scalability in general","Relatively high in time complexity in general, the number of clusters
needed to be preset.","Adjusted Rand, Jaccard, Normalized mutual information and
Fowlkes Mallows
https://doi.org/10.1371/journal.pone.0210236"
Hierarchical,ROCK,Middle,High (O(n2logn),Arbitrary,Moderately,,,
Hierarchical,Chameleon,High,High (O(n2)),Arbitrary,Moderately,,,
Hierarchical,BIRCH,High,Low O(n),Convex,Moderately,,,
Fuzzy,FCM,Middle,Low O(n),Convex,Moderately,"More realistic to give the probability of belonging, relatively high accuracy of clustering","Relatively low scalability in general, easily drawn into local optimal,
the clustering result sensitive to the initial parameter values, and the number of clusters needed to be preset.","Normalized Mutual
Information,  Omega-Index, Supervised Fuzzy Evaluation Criterion (SFEC), Unsupervised Fuzzy Evaluation Criterion (UFEC)
https://doi.org/10.1016/j.asoc.2016.12.019"
Fuzzy,FCS,Low,High (kernel),Arbitrary,Moderately,,,
Fuzzy,MM,Low,Middle (O(v2n),Arbitrary,Moderately,,,
Distribution based,DBCLASD,Middle,Middle (O(nlogn),Arbitrary,Little,"More realistic to give the probability of belonging, relatively high
scalability by changing the distribution, number of clusters and so on, and supported
by the well developed statistical science","The premise not completely correct, involved in many parameters
which have a strong influence on the clustering result and relatively high time complexity.","Rand Index, F index,
Jaccard index, Fowlkes-Mallows index
https://d1wqtxts1xzle7.cloudfront.net/74347295"
Distribution based,GMM,High,High (O(n2kt),Arbitrary,Highly,,,
Density based,DBSCAN,Middle,Middle (O(nlogn)),Arbitrary,Moderately,Clustering in high efficiency and suitable for data with arbitrary shape,"Clustering result with low quality when the density
of data space isn’t even, a memory with big size needed when the data volume is big, and the clustering result highly sensitive to the parameters","Adjusted Rand, Jaccard, Normalized mutual information and
Fowlkes Mallows
https://doi.org/10.1371/journal.pone.0210236"
Density based,OPTICS,Middle,Middle (O(nlogn),Arbitrary,Little,,,
Density based,Mean-shift,Low,High (kernel),Arbitrary,Little,,,
Density based,DENCLUE,*,*,*,*,,,
Graph theory based,CLICK,High,"Low O(k*f(v,e))",Arbitrary,Highly,"Clustering in high efficiency, the clustering result with high accuracy","The time complexity increases dramatically with the increase
of graph complexity","F-measure, 
Jaccard coefficient, 
entropy, mutual information
https://aclanthology.org/W10-2301.pdf"
Graph theory based,MST,High,Middle O(e*logv),Arbitrary,Highly,,,
Graph theory based,SM,*,*,*,*,,,
Graph theory based,NJW,*,*,*,*,,,
Grid based,STING,High,Low(O(n)),Arbitrary,Little,"Low time complexity, high scalability and suitable for parallel
processing and increment updating","The clustering result is sensitive to the granularity (the mesh size),
the high calculation efficiency at the cost of reducing the quality of clusters and reducing the clustering accuracy","Davies–Bouldin indicator,
Dunn indicator, Silhouette coefficient,
Confusion matrix, Mutual information,
Fowlkes–Mallows indicator, Jaccard indicator,
F indicator, Rand indicator
https://doi.org/10.1007/s40745-015-0040-1"
Grid based,CLIQUE,High,Low(O(n+k2)),Convex,Little,,,
Grid based,Wavecluster,*,*,*,*,,,
Fractal theory based,FC,High,Low(O(n)),Arbitrary,Highly,"Clustering in high efficiency,
high scalability, 
dealing with outliers, effectively and suitable for data with arbitrary shape and high dimension","The premise not completely correct, the clustering result sensitive
to the parameters.","Davies–Bouldin indicator,
Dunn indicator, Silhouette coefficient,
Confusion matrix, Mutual information,
Fowlkes–Mallows indicator, Jaccard indicator,
F indicator, Rand indicator
https://doi.org/10.1007/s40745-015-0040-1"
Model based,COBWEB,Middle,Low(distribution),Arbitrary,Little,"Diverse and well developed models providing means to describe data adequately and each model having its own special characters that may 
bring about some significant 
advantages in some specific areas","Relatively high time complexity in general, the premise not completely
correct, and the clustering result sensitive to the parameters of selected
models.","Davies–Bouldin indicator,
Dunn indicator, Silhouette coefficient,
Confusion matrix, Mutual information,
Fowlkes–Mallows indicator, Jaccard indicator,
F indicator, Rand indicator
https://doi.org/10.1007/s40745-015-0040-1"
Model based,GMM,,*,*,*,,,
Model based,SOM,Low,High(layer),Arbitrary,Little,,,
Model based,ART,High,Middle(type+layer),Arbitrary,Highly,,,
